"x","y","pred","time_in_seconds"
-60,-50,NA,2.69814
-59.9396984924623,-50,NA,2.69814
-59.8793969849246,-50,NA,2.69814
-59.8190954773869,-50,NA,2.69814
-59.7587939698492,-50,NA,2.69814
-59.6984924623116,-50,NA,2.69814
-59.6381909547739,-50,NA,2.69814
-59.5778894472362,-50,NA,2.69814
-59.5175879396985,-50,NA,2.69814
-59.4572864321608,-50,NA,2.69814
-59.3969849246231,-50,NA,2.69814
-59.3366834170854,-50,NA,2.69814
-59.2763819095477,-50,NA,2.69814
-59.21608040201,-50,NA,2.69814
-59.1557788944724,-50,NA,2.69814
-59.0954773869347,-50,NA,2.69814
-59.035175879397,-50,NA,2.69814
-58.9748743718593,-50,NA,2.69814
-58.9145728643216,-50,NA,2.69814
-58.8542713567839,-50,NA,2.69814
-58.7939698492462,-50,NA,2.69814
-58.7336683417085,-50,NA,2.69814
-58.6733668341709,-50,NA,2.69814
-58.6130653266332,-50,NA,2.69814
-58.5527638190955,-50,NA,2.69814
-58.4924623115578,-50,NA,2.69814
-58.4321608040201,-50,NA,2.69814
-58.3718592964824,-50,NA,2.69814
-58.3115577889447,-50,NA,2.69814
-58.251256281407,-50,NA,2.69814
-58.1909547738694,-50,NA,2.69814
-58.1306532663317,-50,NA,2.69814
-58.070351758794,-50,NA,2.69814
-58.0100502512563,-50,NA,2.69814
-57.9497487437186,-50,NA,2.69814
-57.8894472361809,-50,NA,2.69814
-57.8291457286432,-50,NA,2.69814
-57.7688442211055,-50,NA,2.69814
-57.7085427135678,-50,NA,2.69814
-57.6482412060301,-50,NA,2.69814
-57.5879396984925,-50,NA,2.69814
-57.5276381909548,-50,NA,2.69814
-57.4673366834171,-50,NA,2.69814
-57.4070351758794,-50,NA,2.69814
-57.3467336683417,-50,NA,2.69814
-57.286432160804,-50,NA,2.69814
-57.2261306532663,-50,NA,2.69814
-57.1658291457286,-50,NA,2.69814
-57.105527638191,-50,NA,2.69814
-57.0452261306533,-50,NA,2.69814
-56.9849246231156,-50,NA,2.69814
-56.9246231155779,-50,NA,2.69814
-56.8643216080402,-50,NA,2.69814
-56.8040201005025,-50,NA,2.69814
-56.7437185929648,-50,NA,2.69814
-56.6834170854271,-50,NA,2.69814
-56.6231155778895,-50,NA,2.69814
-56.5628140703518,-50,NA,2.69814
-56.5025125628141,-50,NA,2.69814
-56.4422110552764,-50,NA,2.69814
-56.3819095477387,-50,NA,2.69814
-56.321608040201,-50,NA,2.69814
-56.2613065326633,-50,NA,2.69814
-56.2010050251256,-50,NA,2.69814
-56.1407035175879,-50,NA,2.69814
-56.0804020100502,-50,NA,2.69814
-56.0201005025126,-50,NA,2.69814
-55.9597989949749,-50,NA,2.69814
-55.8994974874372,-50,NA,2.69814
-55.8391959798995,-50,NA,2.69814
-55.7788944723618,-50,NA,2.69814
-55.7185929648241,-50,NA,2.69814
-55.6582914572864,-50,NA,2.69814
-55.5979899497487,-50,NA,2.69814
-55.5376884422111,-50,NA,2.69814
-55.4773869346734,-50,NA,2.69814
-55.4170854271357,-50,NA,2.69814
-55.356783919598,-50,NA,2.69814
-55.2964824120603,-50,NA,2.69814
-55.2361809045226,-50,NA,2.69814
-55.1758793969849,-50,NA,2.69814
-55.1155778894472,-50,NA,2.69814
-55.0552763819096,-50,NA,2.69814
-54.9949748743719,-50,NA,2.69814
-54.9346733668342,-50,NA,2.69814
-54.8743718592965,-50,NA,2.69814
-54.8140703517588,-50,NA,2.69814
-54.7537688442211,-50,NA,2.69814
-54.6934673366834,-50,NA,2.69814
-54.6331658291457,-50,NA,2.69814
-54.572864321608,-50,NA,2.69814
-54.5125628140703,-50,NA,2.69814
-54.4522613065327,-50,NA,2.69814
-54.391959798995,-50,NA,2.69814
-54.3316582914573,-50,NA,2.69814
-54.2713567839196,-50,NA,2.69814
-54.2110552763819,-50,NA,2.69814
-54.1507537688442,-50,NA,2.69814
-54.0904522613065,-50,NA,2.69814
-54.0301507537688,-50,NA,2.69814
-53.9698492462312,-50,NA,2.69814
-53.9095477386935,-50,NA,2.69814
-53.8492462311558,-50,NA,2.69814
-53.7889447236181,-50,NA,2.69814
-53.7286432160804,-50,NA,2.69814
-53.6683417085427,-50,NA,2.69814
-53.608040201005,-50,NA,2.69814
-53.5477386934673,-50,NA,2.69814
-53.4874371859297,-50,NA,2.69814
-53.427135678392,-50,NA,2.69814
-53.3668341708543,-50,NA,2.69814
-53.3065326633166,-50,NA,2.69814
-53.2462311557789,-50,NA,2.69814
-53.1859296482412,-50,NA,2.69814
-53.1256281407035,-50,NA,2.69814
-53.0653266331658,-50,NA,2.69814
-53.0050251256281,-50,NA,2.69814
-52.9447236180904,-50,NA,2.69814
-52.8844221105528,-50,NA,2.69814
-52.8241206030151,-50,NA,2.69814
-52.7638190954774,-50,NA,2.69814
-52.7035175879397,-50,NA,2.69814
-52.643216080402,-50,NA,2.69814
-52.5829145728643,-50,NA,2.69814
-52.5226130653266,-50,NA,2.69814
-52.4623115577889,-50,NA,2.69814
-52.4020100502513,-50,NA,2.69814
-52.3417085427136,-50,NA,2.69814
-52.2814070351759,-50,NA,2.69814
-52.2211055276382,-50,NA,2.69814
-52.1608040201005,-50,NA,2.69814
-52.1005025125628,-50,NA,2.69814
-52.0402010050251,-50,NA,2.69814
-51.9798994974874,-50,NA,2.69814
-51.9195979899498,-50,NA,2.69814
-51.8592964824121,-50,NA,2.69814
-51.7989949748744,-50,NA,2.69814
-51.7386934673367,-50,NA,2.69814
-51.678391959799,-50,NA,2.69814
-51.6180904522613,-50,NA,2.69814
-51.5577889447236,-50,NA,2.69814
-51.4974874371859,-50,NA,2.69814
-51.4371859296482,-50,NA,2.69814
-51.3768844221105,-50,NA,2.69814
-51.3165829145729,-50,NA,2.69814
-51.2562814070352,-50,NA,2.69814
-51.1959798994975,-50,NA,2.69814
-51.1356783919598,-50,NA,2.69814
-51.0753768844221,-50,NA,2.69814
-51.0150753768844,-50,NA,2.69814
-50.9547738693467,-50,NA,2.69814
-50.894472361809,-50,NA,2.69814
-50.8341708542714,-50,NA,2.69814
-50.7738693467337,-50,NA,2.69814
-50.713567839196,-50,NA,2.69814
-50.6532663316583,-50,NA,2.69814
-50.5929648241206,-50,NA,2.69814
-50.5326633165829,-50,NA,2.69814
-50.4723618090452,-50,NA,2.69814
-50.4120603015075,-50,NA,2.69814
-50.3517587939699,-50,NA,2.69814
-50.2914572864322,-50,NA,2.69814
-50.2311557788945,-50,NA,2.69814
-50.1708542713568,-50,NA,2.69814
-50.1105527638191,-50,NA,2.69814
-50.0502512562814,-50,NA,2.69814
-49.9899497487437,-50,NA,2.69814
-49.929648241206,-50,NA,2.69814
-49.8693467336683,-50,NA,2.69814
-49.8090452261306,-50,NA,2.69814
-49.748743718593,-50,NA,2.69814
-49.6884422110553,-50,NA,2.69814
-49.6281407035176,-50,NA,2.69814
-49.5678391959799,-50,NA,2.69814
-49.5075376884422,-50,NA,2.69814
-49.4472361809045,-50,NA,2.69814
-49.3869346733668,-50,NA,2.69814
-49.3266331658292,-50,NA,2.69814
-49.2663316582915,-50,NA,2.69814
-49.2060301507538,-50,NA,2.69814
-49.1457286432161,-50,NA,2.69814
-49.0854271356784,-50,NA,2.69814
-49.0251256281407,-50,NA,2.69814
-48.964824120603,-50,NA,2.69814
-48.9045226130653,-50,NA,2.69814
